#B, G, R, barva 0->R 1->G 2->B 3->Y 4->K
24, 76, 24, 1 
34, 14, 152, 0 
120, 64, 37, 2 
16, 9, 103, 0 
15, 7, 95, 0 
66, 105, 67, 1 
115, 36, 11, 2 
62, 102, 63, 1 
99, 23, 7, 3 
31, 19, 126, 0 
20, 14, 130, 0 
41, 21, 131, 0 
10, 2, 75, 0 
14, 9, 95, 0 
71, 110, 67, 1 
119, 59, 37, 2 
88, 122, 76, 1 
75, 103, 63, 1 
36, 139, 164, 3 
7, 0, 60, 0 
14, 4, 64, 0 
67, 67, 57, 1 
74, 78, 78, 1 
10, 29, 9, 1 
48, 82, 44, 1 
31, 3, 122, 0 
98, 19, 7, 2 
54, 82, 25, 1 
17, 8, 130, 0 
28, 10, 0, 4 
48, 12, 143, 0 
61, 173, 206, 3 
60, 171, 213, 3 
160, 172, 171, 3 
112, 164, 179, 3 
30, 145, 177, 3 
83, 86, 76, 1 
53, 61, 50, 1 
20, 29, 13, 1 
178, 172, 156, 1 
135, 139, 116, 1 
79, 21, 6, 2 
31, 64, 8, 1 
101, 51, 29, 2 
66, 93, 61, 1 
66, 86, 69, 1 
122, 63, 40, 2 
131, 173, 170, 3 
14, 1, 53, 0 
67, 77, 74, 1 
63, 61, 57, 1 
14, 2, 60, 0 
12, 23, 5, 1 
36, 81, 41, 1 
91, 41, 24, 2 
23, 0, 133, 0 
49, 39, 40, 4 
48, 18, 154, 0 
112, 59, 34, 2 
114, 53, 31, 2 
112, 116, 115, 3 
88, 102, 109, 3 
13, 83, 104, 3 
79, 86, 90, 1 
76, 81, 69, 1 
10, 25, 9, 1 
44, 27, 144, 0 
35, 23, 138, 0 
213, 216, 211, 3 
186, 202, 204, 3 
70, 169, 200, 3 
12, 0, 85, 0 
19, 0, 57, 0 
21, 19, 9, 1 
62, 147, 168, 3 
93, 98, 94, 3 
75, 91, 98, 3 
8, 73, 94, 3 
110, 108, 105, 3 
84, 109, 108, 3 
8, 78, 97, 3 
31, 2, 2, 4 
21, 1, 2, 4 
65, 54, 52, 3 
28, 23, 22, 4 
26, 3, 2, 4 
58, 5, 3, 4 
